id,bounding_box
person:0.7465,[1262   61   18   83]
person:0.7263,[116   1  19  19]
person:0.6479,[1210   -2   25   29]
dog:0.6182,[ 24 545  85 109]
person:0.6059,[605  -3  26  57]
person:0.5891,[926  10  29 107]
person:0.5526,[383 142  34  67]
person:0.5320,[805  66  32  80]
person:0.9968,[508 258  31 131]
person:0.9910,[762 304  41 100]
person:0.9906,[616 129  37  88]
person:0.9896,[452 390  46 125]
person:0.9893,[976 240  57  98]
person:0.9887,[923 475  57 111]
person:0.9868,[753 576  59 134]
person:0.9862,[989 342  50 113]
person:0.9847,[472 134  35  94]
person:0.9837,[160  14  37  73]
person:0.9813,[727  38  31  70]
person:0.9810,[383 200  34  83]
person:0.9771,[1201  108   41   82]
person:0.9750,[1219  430   57  118]
person:0.9650,[564  41  35  79]
person:0.9571,[164 319  52 117]
person:0.9485,[781  85  37  83]
person:0.9421,[1134   64   56  140]
person:0.9319,[605  51  26  72]
person:0.9315,[533  45  26  79]
person:0.9278,[482   0  35  52]
person:0.9188,[1062   13   22   69]
person:0.9107,[1082   12   28   67]
person:0.9107,[58 81 37 82]
person:0.8999,[292 333  44  92]
person:0.8941,[252   0  30  73]
person:0.8634,[661  89  34  82]
person:0.8194,[1118    9   35   95]
person:0.8159,[867   1  29  65]
person:0.8156,[242 326  55 112]
person:0.7837,[1262   61   18   83]
person:0.7158,[606  -3  27  57]
person:0.7038,[116   1  19  18]
person:0.6925,[1210   -2   25   29]
person:0.6434,[926   9  29 109]
person:0.6351,[804  65  31  81]
person:0.6066,[382 146  34  75]
dog:0.5911,[ 24 546  89 109]
person:0.9953,[508 261  32 123]
person:0.9909,[990 342  51 114]
person:0.9906,[763 297  39 110]
person:0.9901,[977 240  56  99]
person:0.9897,[753 575  59 137]
person:0.9897,[616 131  38  87]
person:0.9881,[470 134  37  86]
person:0.9864,[922 474  53 111]
person:0.9822,[726  39  32  70]
person:0.9822,[1220  427   55  120]
person:0.9784,[382 201  35  84]
person:0.9732,[162  12  36  74]
person:0.9701,[450 384  47 128]
person:0.9696,[163 322  53 114]
person:0.9590,[563  40  35  80]
person:0.9473,[1201  109   40   80]
person:0.9405,[782  86  33  81]
person:0.9362,[532  40  28  80]
person:0.9276,[1133   75   55  134]
person:0.9243,[605  51  26  74]
person:0.9241,[481   0  36  51]
person:0.9232,[57 81 38 82]
person:0.9080,[1062   13   22   69]
person:0.9064,[292 333  44  92]
person:0.9011,[1081   12   28   67]
person:0.8943,[252   0  31  72]
person:0.8537,[661  92  33  77]
person:0.8248,[1118   11   34   93]
person:0.8241,[242 325  54 112]
person:0.7660,[804  65  30  80]
person:0.7574,[605  -3  28  58]
person:0.7451,[867   1  28  64]
person:0.7191,[1262   61   18   85]
person:0.7080,[1210   -2   24   29]
person:0.6943,[117   1  19  17]
dog:0.6600,[ 24 546  93 109]
person:0.6281,[383 146  34  71]
person:0.5717,[533   0  29  31]
person:0.9919,[980 241  55  99]
person:0.9911,[505 263  36 104]
person:0.9896,[752 573  57 137]
person:0.9888,[470 133  35  86]
person:0.9883,[615 133  39  84]
person:0.9882,[763 297  40 105]
person:0.9878,[991 343  51 112]
person:0.9844,[725  40  34  69]
person:0.9844,[919 473  52 112]
person:0.9810,[1218  424   57  117]
person:0.9774,[382 202  35  83]
person:0.9735,[162 323  52 110]
person:0.9727,[163  12  34  72]
person:0.9636,[1199  112   39   84]
person:0.9576,[563  39  36  82]
person:0.9562,[449 376  49 128]
person:0.9402,[531  39  28  81]
person:0.9391,[57 81 38 82]
person:0.9391,[480   0  38  50]
person:0.9299,[782  83  32  74]
person:0.9243,[1133   74   55  137]
person:0.9040,[606  50  27  73]
person:0.8999,[252   0  32  71]
person:0.8988,[1062   13   22   69]
person:0.8978,[292 333  43  91]
person:0.8973,[1081   12   28   67]
person:0.8286,[661  92  33  78]
person:0.8112,[242 326  55 110]
person:0.7921,[803  66  30  79]
dog:0.7895,[ 24 546  95 109]
person:0.7518,[604  -3  29  57]
person:0.7472,[1120   15   37   72]
person:0.7450,[1210   -2   23   29]
person:0.6873,[868   2  28  64]
person:0.6870,[1262   60   18   85]
person:0.6869,[382 147  34  70]
person:0.6526,[117   0  18  16]
person:0.6083,[533  -3  33  32]
person:0.9968,[505 256  36 114]
person:0.9948,[981 242  53  99]
person:0.9913,[469 132  36  87]
person:0.9903,[991 345  52 111]
person:0.9898,[1217  422   58  119]
person:0.9869,[615 134  38  84]
person:0.9869,[763 298  40  99]
person:0.9864,[916 471  51 115]
person:0.9853,[450 375  49 123]
person:0.9847,[749 569  59 142]
person:0.9806,[725  41  35  69]
person:0.9739,[160 324  55 109]
person:0.9735,[1199  112   39   86]
person:0.9659,[165  12  33  70]
person:0.9640,[383 204  34  82]
person:0.9466,[56 80 39 83]
person:0.9446,[563  39  35  81]
person:0.9427,[479   0  39  50]
person:0.9320,[531  40  28  80]
person:0.9284,[782  84  31  73]
person:0.9029,[254   0  29  71]
person:0.9029,[1133   76   55  137]
person:0.9026,[292 334  43  88]
person:0.9021,[606  50  27  73]
person:0.8840,[1080   12   29   68]
person:0.8765,[1062   13   21   69]
person:0.8671,[661  87  34  84]
person:0.8313,[802  64  32  82]
person:0.8049,[256 342  43  97]
dog:0.7980,[ 25 548  94 108]
person:0.7680,[382 147  34  71]
person:0.7483,[868   2  27  63]
person:0.7389,[604  -2  30  56]
person:0.7236,[1120   14   37   72]
person:0.7209,[1210   -1   23   28]
person:0.7025,[117   1  19  16]
person:0.6752,[1261   62   19   84]
person:0.6402,[222 323  42 106]
person:0.9973,[505 253  36 109]
person:0.9958,[983 244  52 105]
person:0.9927,[470 128  36  88]
person:0.9910,[763 296  41  94]
person:0.9889,[990 350  55 105]
person:0.9882,[451 372  48 114]
person:0.9879,[750 560  54 139]
person:0.9870,[1214  416   62  122]
person:0.9811,[1199  113   39   87]
person:0.9807,[615 135  39  84]
person:0.9803,[912 473  52 113]
person:0.9779,[166 314  41 131]
person:0.9721,[726  42  33  70]
person:0.9620,[382 201  36  87]
person:0.9490,[780  82  32  74]
person:0.9463,[56 79 38 84]
person:0.9435,[531  39  28  81]
person:0.9348,[563  40  35  81]
person:0.9218,[661  80  35  98]
person:0.9216,[168  10  32  72]
person:0.9129,[479   0  36  47]
person:0.9059,[293 333  43  90]
person:0.8962,[606  50  27  73]
person:0.8954,[802  58  33  93]
person:0.8786,[1079   11   32   70]
person:0.8576,[1061   13   24   71]
person:0.8306,[1118   12   35   90]
person:0.8274,[259  -2  26  73]
person:0.8190,[1134   79   55  135]
person:0.7850,[255 345  45  93]
person:0.7600,[381 148  34  70]
person:0.7017,[605  -2  29  55]
person:0.6679,[867   1  27  63]
person:0.6677,[1260   63   20   82]
person:0.6564,[1210   -1   23   28]
person:0.6210,[118   1  18  14]
person:0.6061,[222 323  39 107]
dog:0.5729,[ 27 548  92 109]
person:0.5582,[530  -4  50  33]
person:0.9966,[504 255  38 102]
person:0.9961,[983 245  52 108]
person:0.9949,[763 296  41  91]
