id,x,y
car:0.8474,404.0,512.0
car:0.8211,742.0,409.0
car:0.8091,443.0,407.0
car:0.8082,387.0,715.0
car:0.7222,657.0,501.0
truck:0.6840,890.0,598.0
car:0.5594,519.0,352.0
car:0.9863,1118.0,534.0
car:0.9651,593.0,585.0
car:0.9534,994.0,415.0
car:0.9479,869.0,440.0
car:0.8991,493.0,463.0
car:0.8880,403.0,515.0
car:0.8653,472.0,403.0
car:0.8549,442.0,409.0
car:0.8189,738.0,408.0
car:0.7907,382.0,725.0
car:0.7627,903.0,611.0
car:0.7103,661.0,508.0
car:0.9824,1109.0,535.0
car:0.9698,992.0,408.0
car:0.9525,865.0,437.0
car:0.9485,585.0,590.0
car:0.9341,912.0,615.0
car:0.8989,498.0,469.0
car:0.8985,439.0,411.0
car:0.8575,403.0,517.0
car:0.7764,474.0,403.0
car:0.7744,663.0,512.0
car:0.7734,738.0,402.0
car:0.6649,379.0,731.0
car:0.9701,915.0,615.0
car:0.9684,984.0,408.0
car:0.9643,1106.0,521.0
car:0.9495,585.0,594.0
car:0.9080,440.0,410.0
car:0.8816,660.0,517.0
car:0.8769,498.0,469.0
car:0.8512,406.0,517.0
car:0.7748,475.0,405.0
car:0.7627,868.0,426.0
car:0.6770,738.0,397.0
car:0.9835,977.0,409.0
car:0.9507,916.0,613.0
car:0.9499,1092.0,528.0
car:0.9283,590.0,592.0
car:0.9265,497.0,474.0
car:0.9130,440.0,413.0
car:0.8943,661.0,532.0
car:0.8857,858.0,424.0
car:0.7903,406.0,518.0
car:0.7064,726.0,401.0
car:0.6852,476.0,408.0
car:0.9721,972.0,405.0
car:0.9497,1089.0,519.0
car:0.9450,591.0,595.0
car:0.9364,498.0,476.0
car:0.9193,936.0,635.0
car:0.9032,438.0,417.0
car:0.8978,667.0,537.0
car:0.8549,849.0,433.0
car:0.8420,402.0,524.0
car:0.8413,478.0,411.0
car:0.7991,746.0,378.0
car:0.7308,718.0,377.0
car:0.6022,499.0,348.0
car:0.9774,599.0,602.0
car:0.9759,500.0,476.0
car:0.9703,668.0,543.0
car:0.9658,970.0,401.0
car:0.9462,442.0,415.0
car:0.9363,1077.0,520.0
car:0.9192,412.0,538.0
car:0.9029,481.0,410.0
car:0.8853,945.0,660.0
car:0.8808,843.0,435.0
car:0.7801,718.0,403.0
car:0.5061,497.0,346.0
car:0.9819,600.0,606.0
car:0.9705,501.0,478.0
car:0.9664,670.0,548.0
car:0.9576,1073.0,511.0
car:0.9528,966.0,400.0
car:0.9502,948.0,667.0
car:0.9391,483.0,412.0
car:0.9190,407.0,547.0
car:0.8766,446.0,414.0
car:0.8607,844.0,421.0
car:0.8313,714.0,401.0
car:0.6909,493.0,345.0
car:0.9729,599.0,620.0
car:0.9729,507.0,472.0
car:0.9552,677.0,549.0
car:0.9380,959.0,399.0
car:0.9215,949.0,672.0
car:0.8987,488.0,411.0
car:0.8972,1066.0,506.0
car:0.8929,409.0,545.0
car:0.8190,712.0,396.0
car:0.7238,843.0,417.0
car:0.6837,448.0,417.0
car:0.9825,604.0,617.0
car:0.9543,950.0,402.0
car:0.9401,507.0,474.0
car:0.9146,1060.0,504.0
car:0.8852,686.0,551.0
car:0.8673,833.0,417.0
car:0.8666,407.0,550.0
car:0.8590,708.0,395.0
car:0.8484,948.0,680.0
car:0.8213,489.0,413.0
car:0.6606,446.0,420.0
car:0.9821,603.0,623.0
car:0.9487,686.0,555.0
car:0.9396,1050.0,503.0
car:0.8853,509.0,475.0
car:0.8475,828.0,418.0
car:0.8459,945.0,400.0
car:0.8432,987.0,663.0
car:0.8385,406.0,552.0
car:0.7621,445.0,426.0
car:0.7438,491.0,412.0
car:0.7355,704.0,397.0
car:0.9936,605.0,629.0
car:0.9618,1042.0,499.0
car:0.9616,687.0,557.0
car:0.9224,406.0,556.0
car:0.9211,508.0,497.0
car:0.8846,938.0,395.0
car:0.8633,822.0,425.0
