id,bounding_box
car:0.9215,[832 505 167 117]
car:0.8987,[453 352  59  35]
car:0.8972,[1025  425   81   41]
car:0.8929,[336 457  88  73]
car:0.8190,[680 321  75  32]
car:0.7238,[813 362  55  30]
car:0.6837,[402 360  57  46]
car:0.9825,[490 500 117 114]
car:0.9543,[911 330  72  39]
car:0.9401,[456 413  61  51]
car:0.9146,[1011  416   88   49]
car:0.8852,[619 466  85  67]
car:0.8673,[803 360  57  30]
car:0.8666,[336 465  85  71]
car:0.8590,[678 321  74  30]
car:0.8484,[834 512 168 114]
car:0.8213,[454 353  60  35]
car:0.6606,[402 361  59  44]
car:0.9821,[491 505 118 112]
car:0.9487,[623 468  87  63]
car:0.9396,[1006  416   87   44]
car:0.8853,[457 413  62  52]
car:0.8475,[799 360  58  29]
car:0.8459,[907 329  71  38]
car:0.8432,[844 502 161 143]
car:0.8385,[335 466  86  71]
car:0.7621,[404 369  57  41]
car:0.7438,[456 353  59  35]
car:0.7355,[672 322  75  32]
car:0.9936,[493 510 119 112]
car:0.9618,[1003  417   82   39]
car:0.9616,[626 472  85  61]
car:0.9224,[334 467  89  72]
car:0.9211,[457 421  76  51]
car:0.8846,[904 326  69  34]
car:0.8633,[790 355  70  32]
car:0.8534,[403 370  61  41]
car:0.8170,[858 502 166 144]
car:0.6505,[458 356  59  42]
car:0.6449,[665 322  72  32]
car:0.9868,[494 516 124 109]
car:0.9627,[995 414  86  41]
car:0.9601,[899 324  64  36]
car:0.9456,[787 355  68  32]
car:0.9296,[459 423  72  51]
car:0.9198,[629 476  85  61]
car:0.8770,[338 468  84  73]
car:0.7790,[404 371  60  40]
car:0.7774,[660 321  74  30]
car:0.7209,[443 357  82  39]
car:0.6741,[868 521 162 142]
car:0.9808,[891 324  69  35]
car:0.9782,[493 518 128 110]
car:0.9618,[987 411  82  42]
car:0.9217,[788 356  59  29]
car:0.9134,[633 478  86  62]
car:0.8211,[338 469  85  72]
car:0.8197,[460 425  69  51]
car:0.7706,[405 372  60  39]
car:0.7617,[658 320  72  30]
car:0.6216,[466 359  60  38]
car:0.6156,[874 525 177 143]
